NR.,Vulnerable Smart Contracts,Vulnerability/Bug,Analyzed (Solidity only),Reentrancy,Timestamp Dependancy,Transaction ordering dependancy,Mishandled exceptions,Integer overflow/underflow,Gas overusage,Phishing with tx.origin,Signature replay
1,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes,1,X,X,X,X,X,X,X
2,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes,1,X,X,X,X,X,X,X
3,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",Yes,X,X,X,X,X,X,X,X
4,KotET Sample compiler version 0.3.1,Mishandled Exception,Yes,1,X,X,1,X,X,X,X
5,KotET Sample compiler version 0.4.2,Gasless send,Yes,X,X,X,X,1,X,X,X
6,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit, uses too much gas",Yes,X,X,X,X,X,X,X,X
7,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes,X,X,X,X,X,X,X,X
8,Rubixi ,"Immutable bugs, wrong constructor name",Yes,X,X,X,X,X,X,X,X
9,FirePonzi,Type casts (intentional scam),Yes,1,X,X,X,X,X,X,X
10,Parity Multisig,Unintended function exposure,Yes,X,X,X,X,1,X,X,X
11,GoodFellas,Typo (wrong constructor name),Yes,X,X,X,X,X,X,X,X
12,StackyGame,Typo (wrong constructor name),Yes,X,X,X,1,1,X,X,X
13,DynamicPyramid,Contract that do not refund,Yes,X,X,X,X,X,X,X,X
14,GreedPit,Integer Overflow underflow,Yes,X,X,X,X,1,X,X,X
15,NanoPyramid,Contract that do not refund,Yes,X,X,X,X,X,X,X,X
16,Tomeka,Contract that do not refund,Yes,X,X,X,X,X,X,X,X
17,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes,X,X,X,X,X,X,X,X
18,RockPaperScissors (RPS),Public moves,Yes,1,X,X,1,X,X,X,X
19,AToken,"Re-entrancy, call to the unkown",Yes,X,X,X,X,X,X,X,X
20,ForceSend,"Re-entrancy, call to the unkown",Yes,X,X,X,X,X,X,X,X
21,KoET,"Unchecked-send bug, Gasless send, Mishandled exception",Yes,X,X,X,1,X,X,X,X
22,GoodGhosting,Gasless send,Yes,1,X,X,X,X,X,X,X
23,ILendingPool,Gasless send,Yes,1,X,X,1,X,1,1,1
24,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit, uses too much gas",Yes,X,X,X,1,X,X,X,X
25,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes,X,X,X,1,1,X,X,X
26,Rubixi ,"Immutable bugs, wrong constructor name",Yes,X,X,X,1,X,X,X,X
27,IPair,Type casts (intentional scam),Yes,X,X,X,X,X,X,X,X
28,Parity Multisig,Unintended function exposure,Yes,X,X,X,X,X,X,X,X
29,GoodFellas,Typo (wrong constructor name),Yes,X,X,X,1,X,X,X,X
30,StackyGame,Typo (wrong constructor name),Yes,X,X,X,1,X,X,X,X
31,DynamicPyramid,Contract that do not refund,Yes,X,X,X,1,1,X,X,X
32,GreedPit,Contract that do not refund,Yes,X,X,X,1,1,X,X,X
33,NanoPyramid,Contract that do not refund,Yes,X,X,X,X,X,X,X,X
34,Tomeka,Contract that do not refund,Yes,X,X,X,1,1,X,X,X
35,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes,X,X,X,X,X,X,X,X
36,RockPaperScissors (RPS),Public moves,Yes,X,X,X,X,X,X,X,X
37,MAToken,Type casts (intentional scam),Yes,X,X,X,X,X,X,X,X
38,Migrations,Unintended function exposure,Yes,X,X,X,1,X,X,X,X
